±¸¹Ì°ü¸Áµµ TEST v3
Network Table - Nodes
                        	Elevation       	Base Demand     	Initial Quality 	Demand          	Head            	Pressure        	Quality         
 Node ID                	m               	CMD             	                	CMD             	m               	m               	                
Junc A174A              	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A175               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A175-1             	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A176               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A176-2             	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc A176A              	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B001               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B002               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B003               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B004               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B005               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B006               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B007               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B008               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B009               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B010               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B011               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B012               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B013               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B014               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B015               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B016               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B017               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B018               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B019               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B020               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B021               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B022               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B023               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B024               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B025               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B026               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B027               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B028               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B029               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B030               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B031               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B032               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
