NodeID,X,Y,Head,Pressure,Elevation,Demand
J03,2512.42,1581.76,69.18,3.98,65.2,30
J04,2510.27,1517.5,69.18,4.63,64.55,20
J05,2606.06,1517.5,69.18,1.63,67.55,0
J06,2606.06,1581.76,69.18,4.94,64.24,0
J14,2570.97,1581.76,69.18,5.68,63.5,0
Reservoir,2570.97,1623.09,69.18,0.0,,-50
